,0
7037,JANET
7038,JANET IP Service
7039,Janus
7040,japh
7041,jar
7042,jargon
7043,Jargon File
7044,Java
7045,Java 2
7046,Java 2 Platform
7047,"Java 2 Platform, Enterprise Edition"
7048,"Java 2 Platform, Micro Edition"
7049,"Java 2 Platform, Standard Edition"
7050,Java 2 SDK
7051,Java 2 Software Development Kit
7052,Java archive
7053,JavaBeans
7054,Java Community Process
7055,Java Database Connectivity
7056,Java Development Kit
7057,Java Message Service
7058,Java Native Interface
7059,Java Open Language Toolkit
7060,Java Remote Method Protocol
7061,Java Run-Time Environment
7062,JavaScript
7063,JavaScript Object Notation
7064,Java servelet
7065,JavaServer Faces
7066,JavaServer Pages
7067,Java servlet
7068,Java Servlet Development Kit
7069,Java Virtual Machine
7070,Java VM
7071,JAZ
7072,Jaz
7073,Jaz Drive
7074,JAZELLE
7075,JBIG
7076,JBOD
7077,JBOPS
7078,jc
7079,JCL
7080,JCOOL
7081,JCP
7082,JCS-13
7083,JDBC
7084,JDK
7085,JEAN
7086,Jean E. Sammet
7087,Jean-Maurice-Ã‰mile Baudot
7088,JEDR
7089,Jef Raskin
7090,Jenga Code
7091,Jerry Sussman
7092,JES
7093,JES2
7094,JES3
7095,JFCL
7096,JFDI
7097,JFET
7098,JFGI
7099,JFIF
7100,jiffy
7101,Jim Clark
7102,Jini
7103,JIPS
7104,JIT
7105,jitter
7106,JK flip-flop
7107,jm
7108,J.M.E. Baudot
7109,JMHO
7110,JMS
7111,JNI
7112,JNT Association
7113,jo
7114,job
7115,Job Control Language
7116,Job Entry System
7117,Jobs
7118,job security
7119,jock
7120,joe
7121,joe code
7122,John Atanasoff
7123,John Gilmore
7124,John Mauchly
7125,John McCarthy
7126,Johnniac
7127,JOHNNIAC Open Shop System
7128,John Ousterhout
7129,John Tukey
7130,John Vincent Atanasoff
7131,John von Neumann
7132,join
7133,Joint Academic NETwork
7134,Joint Bi-level Image Experts Group
7135,Joint Photographic Experts Group
7136,Joint Technical Committee
7137,Joint Test Action Group
7138,Joliet
7139,jolix
7140,JOLT
7141,Jonathan's Own Version Of Emacs
7142,Jon Postel
7143,JOOP
7144,Joseph-Marie Jacquard
7145,Josephson Junction
7146,JOSS
7147,Jossle
7148,journal
7149,journalling
7150,jove
7151,JOVIAL
7152,Joy
7153,Joyce
7154,joystick
7155,"Joy, William"
7156,jp
7157,JPEG
7158,JPEG-2000
7159,JPEG File Interchange Format
7160,jpg
7161,JPL
7162,JPLDIS
7163,J. Presper Eckert
7164,J. Random
7165,J. Random Hacker
7166,JRE
7167,JRL
7168,JRMP
7169,JS
7170,JSA
7171,JSDK
7172,JSF
7173,JSON
7174,JSP
7175,JSTL
7176,JTAG
7177,JTB
7178,JTC
7179,JTC1/SC24
7180,JTS
7181,juggling eggs
7182,Jughead
7183,juice jacking
7184,jukebox
7185,jump
7186,jumper
7187,jump off into never-never land
7188,jump trace buffer
7189,Junction FET
7190,Junction Field Effect Transistor
7191,Juno
7192,jupiter
7193,Just a Bunch Of Disks
7194,just-in-time
7195,JVM
7196,Jym
7197,K
7198,K5
7199,K56flex
7200,K6
7201,K7
7202,KA9Q
7203,KADS
7204,kahuna
7205,Kaleidoscope
7206,Kali
7207,kamikaze packet
7208,Kamin's interpreters
7209,kana
7210,kangaroo code
7211,kanji
7212,KAOS
7213,KAP
7214,Karel
7215,katakana
7216,Katmai New Instructions
7217,KB
7218,KBMS
7219,kbps
7220,KBS
7221,KC-85/1
7222,KC85/2
7223,KC85/3
7224,KC85/4
7225,KCL
7226,ke
7227,KEE
7228,keep-alive
7229,Keldysh Institute of Applied Mathematics
7230,ken
7231,Kent Applicative Operating System
7232,Ken Thompson
7233,Kent Recursive Calculator
7234,Kerberos
7235,Kermit
7236,kern
7237,kernal
7238,kernel
7239,Kernel Parlog
7240,kernel style
7241,Kernel User Interface Package
7242,kerning
7243,Kevo
7244,key
7245,keyboard
7246,Keyboard Commando
7247,keyboard plaque
7248,Keyboard Send Receive
7249,Keyboard Video Mouse
7250,Keyed-Hashing Message Authentication
7251,Keyed Sequenced Data Set
7252,key escrow
7253,key field
7254,key frame
7255,KeyNote Software
7256,keypad
7257,keypal
7258,KeySpell
7259,keyword
7260,keyword in context
7261,KFX
7262,kg
7263,kgbvax
7264,kh
7265,Khornerstone
7266,Khwarizmi
7267,ki
7268,kibibyte
7269,KIBO
7270,kiboze
7271,kick
7272,kicking dead whales down the beach
7273,Kid
7274,KIDASA Software
7275,killer micro
7276,killer poke
7277,kill file
7278,kilo-
7279,kilobaud
7280,kilobit
7281,kilobits per second
7282,kilobyte
7283,kiloflops
7284,kiosk
7285,KIPS
7286,KIS
7287,KISS
7288,KISS Principle
7289,kit
7290,KL0
7291,KL1
7292,Klamath
7293,KLB
7294,Kleene closure
7295,Kleene star
7296,"Kleene, Stephen Cole"
7297,Klerer-May System
7298,KLOC
7299,klone
7300,KL-ONE
7301,kludge
7302,kluge
7303,kluge around
7304,km
7305,KMODEL
7306,KMS
7307,kn
7308,knapsack problem
7309,KNI
7310,Knights of the Lambda-Calculus
7311,knowbot
7312,Knowbot Information Service
7313,knowledge
7314,Knowledge Analysis and Design System
7315,knowledge base
7316,knowledge-based system
7317,knowledge level
7318,Knowledge Management System
7319,Knowledge Query and Manipulation Language
7320,knowledge representation
7321,Knowledge Sharing Effort
7322,Knowledge Systems Laboratory
7323,Known Lazy Bastard
7324,Knuth
7325,Kodak
7326,Kohonen
7327,KOMPILER
7328,Konrad Zuse
7329,"Korf, Richard"
7330,Korn Shell
7331,kp
7332,KQML
7333,KR
7334,kr
7335,K&R
7336,KRC
7337,K&R C
7338,kremvax
7339,KRL
7340,KRS
7341,K&R style
7342,KRYPTON
7343,ksh
7344,KSL
7345,KSR
7346,KTH
7347,kthx
7348,KUIP
7349,Kungliga Tekniska HÃ¶gskolan
7350,KUTGW
7351,Kvatro Telecom AS
7352,Kvikkalkul
7353,KVM
7354,kw
7355,KWIC
7356,ky
7357,Kyoto Common Lisp
7358,kyrka
7359,kz
7360,L0
7361,L0pht
7362,l10n
7363,L1 cache
7364,L2 cache
7365,L2CAP
7366,L2TP
7367,L6
7368,la
7369,label
7370,label edge router
7371,Label Forwarding Information Base
7372,label switched path
7373,label switching
7374,Label Switching Router
7375,Lab for Computer Science
7376,Laboratoire lorrain de recherche en informatique et ses applications
7377,Laboratory INstrument Computer
7378,Laboratory Virtual Instrument Engineering Workbench
7379,LaborNet
7380,Labtech Notebook
7381,LabVIEW
7382,Lace
7383,lace card
7384,ladder logic
7385,LADY
7386,lag
7387,Lakota
7388,LALR
7389,lalr.ss
7390,Lambada-Calculus
7391,LAMBDA
7392,lambda abstraction
7393,lambda-calculus
7394,lambda expression
7395,lambda lifting
7396,LambdaMOO
7397,Lambda Prolog
7398,lamer
7399,LAMINA
7400,lamp-post error
7401,LAN
7402,LAN administrator
7403,LANCE
7404,language
7405,language-based editor
7406,language code
7407,Language for Communicating Systems
7408,Language for the On-Line Investigation and Transformation of Abstractions
7409,Language H
7410,language lawyer
7411,Language Of Temporal Ordering Specification
7412,Language Sensitive Editor
7413,language-sensitive editor
7414,languages of choice
7415,Laning and Zierler
7416,Lan Kanal Adapter
7417,LANL
7418,Lan Manager
7419,LANtastic
7420,LAP
7421,LAP4
7422,LAPB
7423,LAPD
7424,LAPM
7425,LAPSE
7426,laptop
7427,laptop computer
7428,LaQuey
7429,Larch
7430,Larch/C++
7431,LARCH/CLU
7432,Large Installation Systems Administration
7433,Larry Wall
7434,LART
7435,larval stage
7436,lase
7437,laser
7438,laser printer
7439,Lasherism
7440,last call optimisation
7441,last-in first-out
7442,LAT
7443,latch
7444,latency
7445,LaTeX
7446,Latin 1
7447,lattice
7448,LAU
7449,laundromat
7450,LAURE
7451,LAVA
7452,law
7453,LAWN
7454,Lawrence Livermore Labs
7455,Lawrence Livermore National Laboratory
7456,LAX
7457,layer
7458,layer 1
7459,layer 2
7460,layer 3
7461,layer 4
7462,layer 5
7463,layer 6
7464,layer 7
7465,Layer Two Tunneling Protocol
7466,laziness
7467,lazy evaluation
7468,lazy list
7469,Lazy SML
7470,lazy sml2c
7471,Lazy Standard ML
7472,lb
7473,LBA
7474,LBE
7475,LBL
7476,LBX
7477,lc
7478,LCC
7479,lcc
7480,LCD
7481,LCF
7482,LCL
7483,lclint
7484,LCP
7485,LCS
7486,ld
7487,LDAP
7488,LDB
7489,LDL
7490,LDL1
7491,LDP
7492,LDT
7493,LE/1
7494,leading
7495,LEAF
7496,leaf
7497,Leaf Distribution Limited
7498,leaf site
7499,League for Programming Freedom
7500,leak
7501,leaky heap
7502,Lean
7503,LEAP
7504,leapfrog attack
7505,leap second
7506,learning curve
7507,leased line
7508,least fixed point
7509,least recently used
7510,least significant bit
7511,least upper bound
7512,leaves
7513,LEC
7514,LECOM
7515,LED
7516,LEDA
7517,Leda
7518,LED page printer
7519,LED printer
7520,leech
7521,leet
7522,left arrow
7523,left brace
7524,left bracket
7525,left join
7526,left outer join
7527,left parenthesis
7528,LeFun
7529,legacy
7530,legacy code
7531,legacy software
7532,legacy system
7533,legal
7534,legalese
7535,LEGOL
7536,Le-Lisp
7537,lemma
7538,Lempel-Ziv compression
7539,Lempel-Ziv Welch compression
7540,"Lenat, Doug"
7541,lenient evaluation
7542,LEO
7543,Leo
7544,LER
7545,LERP
7546,less than
7547,LessTif
7548,let floating
7549,letterbomb
7550,level 1 cache
7551,level 2 cache
7552,LEVEL5 OBJECT
7553,level one cache
7554,level-sensitive scan design
7555,level two cache
7556,Lex
7557,lexeme
7558,lexer
7559,lexical analyser
7560,lexical analysis
7561,lexical scope
7562,lexical scoping
7563,lexiphage
7564,LF
7565,LFIB
7566,LG
7567,LGDF
7568,LGEN
7569,LGN
7570,lha
7571,LHARC
7572,lhs
7573,li
7574,Liana
7575,Liar
7576,liar paradox
7577,lib
7578,libg++
7579,library
7580,Library of Efficient Data types and Algorithms
7581,librery
7582,LIDO
7583,LiE
7584,LIF
7585,life
7586,life-cycle
7587,LIFIA
7588,LIFO
7589,lifted domain
7590,LIGHT
7591,light client
7592,light-emitting diode
7593,light-emitting resistor
7594,light pen
7595,light pipe
7596,light-weight
7597,Lightweight Directory Access Protocol
7598,light-weight process
7599,like kicking dead whales down the beach
7600,like nailing jelly to a tree
7601,like this
7602,Lila
7603,Lilith
7604,LILLIAC IV
7605,lilo
7606,Lily
7607,LIMDEP
7608,LIM EMS
7609,LIMP
7610,Linc
7611,Lincoln Reckoner
7612,LINCtape
7613,Linda
7614,LindaLISP
7615,line
7616,line 666
7617,linear address space
7618,linear argument
7619,linear assignment
7620,linear function
7621,Linear Graph Notation
7622,linear logic
7623,linear map
7624,linear programming
7625,linear space
7626,linear topology
7627,linear transformation
7628,linear type
7629,line conditioning
7630,line eater
7631,line editor
7632,line feed
7633,line noise
7634,line printer
7635,line probing
7636,lines of code
7637,lines per minute
7638,line starve
7639,Lingo
7640,LINGOL
7641,link
7642,Link Access Procedure on the D channel
7643,Link Access Protocol Balanced
7644,Link Access Protocol for Modems
7645,linkage editor
7646,Link Control Protocol
7647,link-dead
7648,link editor
7649,linked list
7650,linker
7651,link farm
7652,link loader
7653,link rot
7654,links
7655,Link State Routing Protocol
7656,LINPACK
7657,lint
7658,Linux
7659,Linux Documentation Project
7660,Linux Loader
7661,Linux Network Administrators' Guide
7662,Linux User Group
7663,lion food
7664,Lions Book
7665,LIPL
7666,liquid crystal display
7667,LIS
7668,LISA
7669,"Liskov, Barbara"
7670,Liskov substitution principle
7671,Lisp
7672,LISP 1
7673,LISP 1.5
7674,LISP 2
7675,LISP70
7676,LISP A
7677,LISP Extended Algebraic Facility
7678,Lispkit
7679,Lispkit Lisp
7680,Lisp-Linda
7681,Lisp Machine
7682,LISP Machine LISP
7683,Lisp Object-Oriented Programming System
7684,"LISP, Objects, and Symbolic Programming"
7685,Lisptalk
7686,LispView
7687,list
7688,list comprehension
7689,List Enhanced
7690,listless
7691,Listproc
7692,lists
7693,Listserv
7694,Liszt
7695,lite
7696,literal
7697,literate programming
7698,literature
7699,LITHE
7700,lithium lick
7701,LitProg
7702,LITTLE
7703,little-endian
7704,Little Smalltalk
7705,live data
7706,Live Free Or Die!
7707,livelock
7708,LiveScript
7709,liveware
7710,lk
7711,LKA
7712,LL
7713,LLC
7714,LLGen
7715,LLM3
7716,LLNL
7717,LLP
7718,LM3
7719,LMAO
7720,LMDS
7721,lmgtfy.com
7722,LML
7723,LM-Prolog
7724,LMTP
7725,LNF
7726,LO
7727,L&O
7728,load
7729,load balancing
7730,load-bearing printf
7731,lobotomy
7732,LOC
7733,local area network
7734,Local Area Terminal
7735,local bus
7736,locale
7737,local echo
7738,local exchange carrier
7739,localisation
7740,localised
7741,locality
7742,local loop
7743,local loopback addresses
7744,Local Mail Transfer Protocol
7745,Local Multipoint Distribution System
7746,locals
7747,Local Shared Resources
7748,LocalTalk
7749,local variable
7750,location
7751,Loch Ness Monster Bug
7752,locked and loaded
7753,locked up
7754,lock-in
7755,Locus
7756,Loebner Prize
7757,log
7758,logarithmus dualis
7759,LogC
7760,logic
7761,logical
7762,logical address
7763,Logical Block Addressing
7764,logical complement
7765,Logical Interchange Format
7766,Logical Link Control
7767,Logical Link Control and Adaptation Protocol
7768,logical relation
7769,logical shift
7770,logical shift left
7771,logical shift right
7772,Logical Unit
7773,Logical Unit 6.2
7774,Logical Unit Number
7775,logic bomb
7776,Logic Design Language
7777,logic emulator
7778,Logic for Computable Functions
7779,logic gate
7780,logic programming
7781,Logic Replacement Technology
7782,logic variable
7783,LOGIN
7784,log in
7785,LOGISCOPE
7786,Loglan
7787,Loglan'82
7788,Loglan-88
7789,LOGLISP
7790,LOGO
7791,log off
7792,LOGOL
7793,logon
7794,log out
7795,Lojban
7796,LOL
7797,LOLITA
7798,Lolli
7799,LOM
7800,longitudinal parity
7801,Longitudinal Redundancy Check
7802,LOOK
7803,"Look Ahead Left-to-right parse, Rightmost-derivation"
7804,Look ahead LR
7805,look and feel
7806,Looking Glass
7807,LOOKS
7808,loop
7809,loop-and-a-half
7810,loop combination
7811,loop fusion
7812,LOOPN
7813,LOOPS
7814,loop through
7815,loose bytes
7816,LOP
7817,lord high fixer
7818,Lore
7819,Lorem ipsum
7820,Lorenz attractor
7821,LORIA
7822,lose
7823,loser
7824,losing
7825,loss
7826,lossage
7827,lossless
7828,lossless audio compression
7829,Lossless Predictive Audio Compression
7830,lossy
7831,lossy audio compression
7832,lost in the noise
7833,lost in the underflow
7834,LOTIS
7835,LOTOS
7836,lots of MIPS but no I/O
7837,Lotus 1-2-3
7838,Lotus Development Corporation
7839,Lotus Notes
7840,Lotus Notes Formula Language
7841,LotusScript
7842,loudspeaker
7843,Lout
7844,love
7845,low-bandwidth
7846,Low Bandwidth X
7847,low earth orbit
7848,Lower Layer Protocol
7849,lower set
7850,Low Insertion Force
7851,LOWL
7852,low-level language
7853,low pass filter
7854,Low Voltage Differential
7855,LPAC
7856,LPC
7857,LPF
7858,LPG
7859,LPI
7860,LPL
7861,lpm
7862,LP MUD
7863,lpr
7864,LPS
7865,lp spooler
7866,LPT
7867,lr
7868,LRC
7869,LRLTRAN
7870,LRU
7871,ls
7872,LSA
7873,LSB
7874,LSE
7875,LSL
7876,LSML
7877,L-Soft
7878,LSP
7879,LSR
7880,LSSD
7881,LSYD
7882,lt
7883,LT-2
7884,LTL
7885,LTPS
7886,LTR
7887,LTR3
7888,lu
7889,LU6.2
7890,lub
7891,Lubarsky's Law of Cybernetic Entomology
7892,Lucent Technologies
7893,LUCID
7894,Lucid Emacs
7895,Lucinda
7896,Lucy
7897,LUG
7898,luminance
7899,lump uncurrying
7900,LUN
7901,lunatic fringe
7902,Lund Simula
7903,Lund Software House AB
7904,lurk
7905,lurker
7906,lurking
7907,luser
7908,Luser Attitude Re-adjustment Tool
7909,LUSTRE
7910,lv
7911,lvalue
7912,LVD
7913,LWP
7914,ly
7915,LYaPAS
7916,Lycos
7917,lylafklc
7918,lynix
7919,LYNX
7920,Lynx
7921,LynxOS
7922,Lynx Real-Time Systems
7923,LYRIC
7924,LZ77 compression
7925,LZ78 compression
7926,LZ compression
7927,lzexe
7928,lzh
7929,LZH compression
7930,LZW compression
7931,M
7932,m2
7933,M2toM3
7934,M3
7935,m4
7936,M5
7937,ma
7938,MAC
7939,Mac
7940,Mac-1
7941,MAC-360
7942,MACA
7943,MAC address
7944,MACAnalyst
7945,Macaulay
7946,MacBinary
7947,MACDesigner
7948,macdink
7949,MACE
7950,Mach
7951,Machiavelli
7952,machinable
7953,machine
7954,machine code
7955,machine cycle
7956,MAchine INdependent SAIL
7957,machine instruction
7958,machine language
7959,machine learning
7960,Mach Interface Generator
7961,machoflops
7962,Mac II
7963,Mac IIcx
7964,Macintosh
7965,Macintosh Common Lisp
7966,Macintosh file system
7967,Macintosh II
7968,Macintosh IIcx
7969,Macintosh Operating System
7970,Macintosh user interface
7971,Macintoy
7972,Macintrash
7973,MACL
7974,MacLisp
7975,MacMinix
7976,Mac OS
7977,Mac OS X
7978,Mac Playmate
7979,MacPPP
7980,MACRO
7981,macro
7982,macro-
7983,macrology
7984,Macromedia
7985,macro preprocessor
7986,Macro SAP
7987,macrotape
7988,MACSYMA
7989,MacTCP
7990,MacX
7991,MAD
7992,Mad/1
7993,Madaline
7994,MADCAP
7995,MADTRAN
7996,maggotbox
7997,MAGIC
7998,magic
7999,magic bullet
8000,magic cookie
8001,magic number
8002,Magic Paper
8003,magic smoke
8004,Magic Switch Story
8005,Magma
8006,Magma2
8007,MagmaLISP
8008,magnetic disk
8009,Magnetic Ink Character Recognition
8010,magnetic stripe
8011,magnetic tape
8012,magnetic tape drive
8013,magneto-optical disk
8014,magneto-optical drive
8015,magnetostrictive delay line
8016,MAGNUM
8017,Magritte
8018,mail
8019,Mail Application Programming Interface
8020,mail bomb
8021,mailbox
8022,mail bridge
8023,mail exchanger
8024,Mail Exchange Record
8025,mail exploder
8026,mail filter
8027,mail gateway
8028,mail hub
8029,mailing list
8030,mail merge
8031,mail path
8032,mail server
8033,Mail Transfer Agent
8034,Mail Transport Agent
8035,mail user agent
8036,Mail Users' Shell
8037,main
8038,MAINBOL
8039,Main Distribution Frame
8040,mainframe
8041,mainframe programmer/analyst
8042,main loop
8043,main memory
8044,MAINSAIL
8045,main store
8046,maintainer
8047,maintainer script
8048,maintenance
8049,Maisie
8050,major delivery
8051,Majordomo
8052,major release
8053,Make
8054,Makedoc
8055,makefile
8056,Maker Interchange Format
8057,MAL
8058,Malamud
8059,MALI
8060,mall
8061,malloc
8062,malware
8063,malware as a service
8064,MAN
8065,man
8066,managed code
8067,management
8068,Management Information Base
8069,Management Information System
8070,Manager of Business Applications
8071,Manchester Autocode
8072,Manchester encoding
8073,Mandala
8074,"Mandelbrot, Benoit"
8075,Mandelbrot set
8076,mandelbug
8077,Mandy Rice-Davis Applies
8078,manged
8079,mangle
8080,mangler
8081,mango
8082,MANIAC
8083,man page
8084,MANTIS
8085,mantissa
8086,manual testing
8087,Manufacturer Resource Planning
8088,Manufacturers Automation Protocol
8089,Manufacturing Automation Protocol
8090,manularity
8091,Many Integrated Core Architecture
8092,MAO
8093,MAP
8094,map
8095,MAPI
8096,Maple
8097,mapping
8098,marbles
8099,Marc Andreessen
8100,Margaret Hamilton
8101,marginal
8102,Marginal Hacks
8103,Maril
8104,marketroid
8105,Mark I
8106,Markov
8107,Markov chain
8108,Markov model
8109,Markov process
8110,Markowitz
8111,mark-sweep garbage collection
8112,markup
8113,Marlais
8114,Mars
8115,Marseille Prolog
8116,marshaling
8117,marshalling
8118,MARSYAS
8119,Martian
8120,Martin Marietta Laboratories Moorestown
8121,MARVIN
8122,Mary
8123,MAS
8124,MASCOT
8125,Mask Read-Only Memory
8126,MASM
8127,MasPar Unity
8128,masquerading
8129,Massachusetts Institute of Technology
8130,massage
8131,Massey Hope
8132,Massively Multiplayer Online Game
8133,Massively Multiplayer Online Role-Playing Game
8134,master
8135,master boot record
8136,Matchmaker
8137,Material Requirements Planning
8138,Mathcad
8139,Mathematica
8140,Mathematical Analysis without Programming
8141,"Mathematical Analyzer, Numerical Integrator and Computer"
8142,Mathematics in Recognizable Form Automatically Compiled
8143,MathJax
8144,MATHLAB
8145,MATH-MATIC or MATHMATIC
8146,math-out
8147,MathWorks
8148,MATLAB
8149,Matrix
8150,Matrix Compiler
8151,MATRIX MATH
8152,Matrix Math eXtensions
8153,MAU
8154,"Mauchly, John W."
8155,mawk
8156,maximal free expression
8157,maximin
8158,MAXIMOP
8159,maximum Maytag mode
8160,maximum seek time
8161,maximum segment size
8162,Maximum Transmission Unit
8163,Maxis Software
8164,MB
8165,MBASIC
8166,"Mbogo, Dr. Fred"
8167,MBONE
8168,MBps
8169,mbps
8170,MBS
8171,MC
8172,mc
8173,MC68000
8174,MC68010
8175,MC68020
8176,MC68030
8177,MC68040
8178,MC6809
8179,MCA
8180,MCAD
8181,MCC
8182,McCulloch-Pitts neuron
8183,MCDBA
8184,MCDST
8185,McG360
8186,MCGA
8187,MCI
8188,MCI Mail
8189,MCL
8190,M-Code
8191,MCP
8192,MCP-1600
8193,MCPD
8194,MCS
8195,MCSA
8196,MCSD
8197,MCSE
8198,mcvax
8199,mcvert
8200,MD
8201,md
8202,MD5
8203,MDA
8204,MDAC
8205,MDCT
8206,MDF
8207,MDI
8208,MDL
8209,Mean Time Between Failures
8210,Mean Time Between Faults
8211,Mean Time To Recovery
8212,measure
8213,measurement
8214,meatspace
8215,meatware
8216,media
8217,Media Access Control
8218,Media Access Unit
8219,Media Converter
8220,Media Gateway Control Protocol
8221,Medium Access Control
8222,meeces
8223,Meet
8224,meg
8225,mega-
8226,megabits per second
8227,megabyte
8228,megabytes per second
8229,megaflop
8230,megaflops
8231,MegaHertz
8232,megapenny
8233,MEGO
8234,Mei
8235,Mel
8236,MELD
8237,MELDC
8238,Melinda
8239,Mel Kaye
8240,Mellor
8241,meltdown
8242,Melvin Conway
8243,member function
8244,membership function
8245,meme
8246,meme plague
8247,memetic algorithm
8248,memetics
8249,Memex
8250,memo function
8251,memoisation
8252,memoised function
8253,memoization
8254,memoized function
8255,memory
8256,memory address space
8257,memory dump
8258,memory farts
8259,memory leak
8260,memory location
8261,memory management
8262,Memory Management Unit
8263,memory mapped I/O
8264,memory protection
8265,memory smash
8266,Memory Type Range Registers
8267,MEMS
8268,Mentat
8269,MENTOR
8270,menu
8271,menu bar
8272,menuitis
8273,MENYMA/S
8274,Mercury Autocode
8275,mercury delay line
8276,MERISE
8277,Merlin
8278,MEROON
8279,Mesa
8280,mesh
8281,MESI protocol
8282,message
8283,message board
8284,Message Digest 5
8285,message digest function
8286,Message Handling System
8287,message passing
8288,Message Passing Interface
8289,message switching
8290,Message Transfer Agent
8291,Message Transport Agent
8292,Messaging Application Programming Interface
8293,Messaging Applications Programming Interface
8294,mess-dos
8295,META
8296,meta
8297,META 5
8298,meta bit
8299,MetaCard
8300,Meta-CASE tool
8301,metaclass
8302,Meta Class System
8303,Meta-Crystal
8304,metadata
8305,Metadata Information Partners
8306,META element
8307,metafile
8308,METAFONT
8309,metaheuristic
8310,Meta-II
8311,metainformation
8312,Meta-IV
8313,METAL
8314,metalanguage
8315,Metal Oxide Semiconductor
8316,Metal Oxide Semiconductor Field Effect Transistor
8317,metaphone
8318,metaprogram
8319,metasyntactic variable
8320,metasyntax
8321,META tag
8322,Meta-Vlisp
8323,Met-English
8324,METEOR
8325,meter
8326,method
8327,method invocation
8328,methodology
8329,Methods
8330,me too
8331,metre
8332,metric
8333,metric space
8334,Metropolitan Area Network
8335,M-expression LISP
8336,MFC
8337,MFE
8338,MFLOPS
8339,MFM
8340,MFTL
8341,mg
8342,MGCP
8343,mh
8344,MHDL
8345,MHEG
8346,MHS
8347,MHz
8348,MIB
8349,MIB Variable
8350,MIC
8351,Mic-1
8352,Mic-2
8353,MICE
8354,mice
8355,Michigan Algorithm Decoder
8356,mickey
8357,mickey mouse program
8358,MICR
8359,micro
8360,micro-
8361,microarray
8362,Micro Assembly Language
8363,microcentury
8364,Micro Channel Architecture
8365,microchip art
8366,microcode
8367,Microcom Networking Protocol
8368,microcomputer
8369,microcontroller
8370,MicroDroid
8371,microelectromechanical system
8372,Microelectronics and Computer Technology Corporation
8373,MicroEmacs
8374,microfloppies
8375,microfortnight
8376,MicroGnuEmacs
8377,Micro Instrumentation and Telemetry Systems
8378,Micro Interpreter for Knowledge Engineering
8379,microkernel
8380,microLenat
8381,microlog
8382,micrometre
8383,Micro ML
8384,Micron
8385,micron
8386,"Micron Electronics, Inc."
8387,Micronetics Standard MUMPS
8388,Micro$oft
8389,microperation
8390,microphone
8391,microPLANNER
8392,microprocesor
8393,microprocessor
8394,Microprocessor without Interlocked Pipeline Stages
8395,microprogramming
8396,microReid
8397,MICRO SAINT
8398,microsecond
8399,Microserf
8400,Microslop
8401,Microsloth Windows
8402,Microsoft
8403,Microsoft Access
8404,Microsoft Basic
8405,Microsoft Certified Application Developer
8406,Microsoft Certified Database Administrator
8407,Microsoft Certified Desktop Support Technician
8408,Microsoft Certified Professional Developer
8409,Microsoft Certified Solution Developer
8410,Microsoft Certified System Engineer
8411,Microsoft Certified Systems Administrator
8412,Microsoft Certified Systems Developer
8413,Microsoft Corporation
8414,Microsoft Data Access Components
8415,Microsoft Disc Operating System
8416,Microsoft Disk Operating System
8417,Microsoft DOS
8418,Microsoft Excel
8419,Microsoft Exchange
8420,Microsoft Extended
8421,Microsoft Foundation Classes
8422,Microsoft IIS
8423,Microsoft IntelliMouse Explorer
8424,Microsoft Internet Information Server
8425,Microsoft Mail
8426,Microsoft Mail Application Program Interface
8427,Microsoft Network
8428,Microsoft Networking
8429,Microsoft Office
8430,Microsoft Office Small Business Edition
8431,Microsoft Point to Point Encryption
8432,Microsoft Project
8433,Microsoft SQL Server
8434,Microsoft Windows
8435,Microsoft Word
8436,MicroStation
8437,microtape
8438,Microware Corporation
8439,Microwave Hardware Description Language
8440,MIDAS
8441,Midas
8442,Midas-WWW
8443,middle-endian
8444,middleware
8445,MIDI
8446,mid-level network
8447,MIF
8448,MIG
8449,MIGRAINES
8450,MII
8451,MIIS
8452,MIKE
8453,mil
8454,Milarepa
8455,MILITRAN
8456,mill
8457,millennium bug
8458,millennium meltdown
8459,milli-
8460,millihelen
8461,milliLampson
8462,millisecond
8463,MILNET
8464,MIMD
8465,MIME
8466,mimencode
8467,Mimer SQL
8468,MIME type
8469,MIMIC
8470,MIMOLA
8471,mind mouse
8472,mind uploading
8473,Minerva software
8474,"Minesweeper, Chess, Solitaire Expert"
8475,minicomputer
8476,Mini Disc
8477,minifloppy
8478,minimal automaton
8479,minimax
8480,Mini-ML
8481,minimum seek time
8482,Mini PL/I
8483,MINITAB II
8484,MINIX
8485,Minnesota Internet Users Essential Tool
8486,MINT
8487,MiNT
8488,Mint Is Not TRAC
8489,Minuet
8490,MINUIT
8491,minus
8492,minus infinity
8493,MIPS
8494,MIPS project
8495,MIPS R2000
8496,MIPS R2010
8497,MIPS R3000
8498,MIPS R4000
8499,"MIPS Technologies, Inc."
8500,Miracula
8501,Miranda
8502,MIRFAC
8503,mirror
8504,mirroring
8505,mirror site
8506,MIS
8507,misbug
8508,MIS Director
8509,misfeature
8510,MISHAP
8511,Missed'em-five
8512,missile address
8513,missing
8514,miswart
8515,MIT
8516,MIT AI Lab
8517,MITI
8518,MITILAC
8519,MIT Licence
8520,MIT License
8521,MIT Lisp Machine
8522,MITRE Corporation
8523,MIT Research Laboratory for Electronics
8524,MITS
8525,MIT Scheme
8526,MIX
8527,MIXAL
8528,MIX Communications
8529,M-JPEG
8530,MJS
8531,mk
8532,ML
8533,ml
8534,ML-2000
8535,MLAB
8536,ML/I
8537,MLISP
8538,ML Kit
8539,MLL
